fpr,tpr,model
0.0,0.0,Random
0.0,0.01414903651798949,Random
0.0,0.02452499663118178,Random
0.0,0.0373265058617437,Random
0.0,0.049993262363562864,Random
0.0,0.06319902978035305,Random
0.0,0.07438350626600189,Random
0.0,0.08475946637919418,Random
0.0,0.09675245923729955,Random
0.0,0.11063199029780353,Random
0.0,0.12275973588465167,Random
0.0,0.13407896509904327,Random
0.0,0.1455329470421776,Random
0.0,0.16008624174639535,Random
0.0,0.17396577280689934,Random
0.0,0.18986659479854467,Random
0.0,0.20590216951893275,Random
0.0,0.22220724969680636,Random
0.0,0.23756906077348067,Random
0.0,0.2527961191214122,Random
0.0,0.26842743565557203,Random
0.0,0.28554103220590216,Random
0.0,0.301172348740062,Random
0.0,0.3169384180029646,Random
0.0,0.33068319633472576,Random
0.0,0.3475272874275704,Random
0.0,0.3645061312491578,Random
0.0,0.38040695324080315,Random
0.00014273479874393378,0.3942864843013071,Random
0.00014273479874393378,0.4096482953779814,Random
0.00014273479874393378,0.42810941921573914,Random
0.00014273479874393378,0.4450882630373265,Random
0.00014273479874393378,0.459237299555316,Random
0.00014273479874393378,0.48012397251044336,Random
0.00014273479874393378,0.4981808381619728,Random
0.00014273479874393378,0.5148901765260746,Random
0.00028546959748786756,0.5309257512464628,Random
0.00028546959748786756,0.5464223150518798,Random
0.00028546959748786756,0.560706104298612,Random
0.00042820439623180134,0.574585635359116,Random
0.0005709391949757351,0.5876566500471635,Random
0.0005709391949757351,0.5992453847190405,Random
0.0005709391949757351,0.612855410322059,Random
0.0005709391949757351,0.6253874140951354,Random
0.0005709391949757351,0.6394016978843822,Random
0.0005709391949757351,0.6511251852850021,Random
0.0005709391949757351,0.6625791672281364,Random
0.0007136739937196689,0.6725508691551004,Random
0.0007136739937196689,0.683331087454521,Random
0.0009991435912075363,0.6933027893814849,Random
0.0009991435912075363,0.703274491308449,Random
0.0015700827861832715,0.7128419350491847,Random
0.0015700827861832715,0.722139873332435,Random
0.001855552383671139,0.7302250370570004,Random
0.001855552383671139,0.7368279207653955,Random
0.001855552383671139,0.7446435790324754,Random
0.0019982871824150727,0.7519202263845843,Random
0.0022837567799029405,0.7587926155504648,Random
0.003140165572366543,0.7652607465301172,Random
0.003711104767342278,0.7737501684409109,Random
0.0041393091635740795,0.7795445357768495,Random
0.004424778761061947,0.7869559358577011,Random
0.004710248358549814,0.793154561379868,Random
0.005423922352269483,0.799218434173292,Random
0.006137596345989152,0.8058213178816871,Random
0.00642306594347702,0.8126937070475677,Random
0.007136739937196689,0.8171405470960788,Random
0.007422209534684556,0.824147688990702,Random
0.008135883528404225,0.8307505726990971,Random
0.008564087924636025,0.8361406818488074,Random
0.009420496717099628,0.8411265328122894,Random
0.009991435912075365,0.8466513946907425,Random
0.010847844704538966,0.8517719983829672,Random
0.011704253497002569,0.8560840857027355,Random
0.012417927490722238,0.861878453038674,Random
0.013417071081929775,0.8665947985446705,Random
0.014558949471881244,0.8717154022368953,Random
0.015558093063088781,0.8758927368279208,Random
0.01698544105052812,0.8804743296051745,Random
0.018412789037967458,0.8842474060099716,Random
0.02041107622038253,0.8869424605848268,Random
0.021695689409077932,0.8899070206171675,Random
0.023551241792749072,0.8927368279207654,Random
0.024835854981444475,0.8958361406818488,Random
0.026263202968883813,0.8998787225441315,Random
0.028546959748786755,0.9029780353052149,Random
0.03140165572366543,0.9068858644387549,Random
0.03439908649728804,0.9087724026411534,Random
0.03611190408221524,0.912949737232179,Random
0.03825292606337425,0.9160490499932623,Random
0.04139309163574079,0.9187441045681175,Random
0.04324864401941193,0.9218434173292009,Random
0.04510419640308307,0.923460450074114,Random
0.04795889237796175,0.9266945155639402,Random
0.050956323151584354,0.9307370974262229,Random
0.05381101912646303,0.9331626465435925,Random
0.056665715101341704,0.9376094865921035,Random
0.05937767627747645,0.9397655302519876,Random
0.061946902654867256,0.9425953375555856,Random
0.06408792463602626,0.9451556394016979,Random
0.06936911218955182,0.9475811885190675,Random
0.0726520125606623,0.9500067376364372,Random
0.0769340565229803,0.9529712976687778,Random
0.08050242649157864,0.955127341328662,Random
0.08421353125892092,0.958361406818488,Random
0.0874964316300314,0.9605174504783722,Random
0.09192121039109336,0.9636167632394556,Random
0.09663145874964316,0.9650990432556259,Random
0.10162717670568085,0.9664465705430535,Random
0.10462460747930345,0.9676593451017383,Random
0.10976306023408507,0.9690068723891658,Random
0.11433057379389094,0.9702196469478507,Random
0.11861261775620896,0.972240937878992,Random
0.12118184413359977,0.9741274760813906,Random
0.12589209249214958,0.9754750033688182,Random
0.13174421924065088,0.9764182724700176,Random
0.13716814159292035,0.9780353052149307,Random
0.14173565515272624,0.980056596146072,Random
0.14601769911504425,0.9804608543323002,Random
0.15244076505852128,0.9814041234334995,Random
0.1575792178133029,0.9826168979921843,Random
0.16300314016557238,0.9830211561784126,Random
0.16885526691407365,0.9843686834658402,Random
0.17399371966885527,0.985042447109554,Random
0.18013131601484442,0.9851771998382968,Random
0.18526976876962603,0.986120468939496,Random
0.19069369112189552,0.986659479854467,Random
0.19754496146160433,0.9882765125993801,Random
0.20296888381387382,0.9885460180568657,Random
0.20939194975735084,0.9897587926155504,Random
0.21581501570082787,0.9904325562592643,Random
0.2215244076505852,0.9915105780892063,Random
0.22809020839280617,0.9920495890041774,Random
0.23465600913502713,0.9932623635628621,Random
0.24065087068227234,0.9935318690203476,Random
0.24750214102198115,0.9943403853928042,Random
0.2557807593491293,0.9948793963077752,Random
0.26348843848130177,0.9951489017652607,Random
0.2706251784184984,0.995553159951489,Random
0.2790465315443905,0.9959574181377173,Random
0.28860976306023406,0.9966311817814311,Random
0.29774479017984584,0.9966311817814311,Random
0.3073080216956894,0.9973049454251448,Random
0.3148729660291179,0.9975744508826304,Random
0.3247216671424493,0.9979787090688587,Random
0.3365686554381958,0.9983829672550869,Random
0.3452754781615758,0.9986524727125724,Random
0.3559805880673708,0.9989219781700579,Random
0.366400228375678,0.9990567308988006,Random
0.37753354267770484,0.9993262363562863,Random
0.3899514701684271,0.9993262363562863,Random
0.4012275192691978,0.999460989085029,Random
0.4146445903511276,0.9995957418137718,Random
0.42577790465315446,0.9997304945425145,Random
0.43733942335141307,0.9997304945425145,Random
0.4510419640308307,0.9998652472712573,Random
0.4640308307165287,0.9998652472712573,Random
0.4785897801884099,0.9998652472712573,Random
0.4930059948615472,0.9998652472712573,Random
0.5081358835284042,0.9998652472712573,Random
0.5208392806166143,0.9998652472712573,Random
0.5382529260633743,0.9998652472712573,Random
0.5545246931201827,0.9998652472712573,Random
0.5717956037681987,0.9998652472712573,Random
0.5876391664287753,0.9998652472712573,Random
0.6021981159006565,0.9998652472712573,Random
0.6211818441335998,0.9998652472712573,Random
0.6388809591778476,0.9998652472712573,Random
0.657293748215815,0.9998652472712573,Random
0.676848415643734,0.9998652472712573,Random
0.6945475306879817,1.0,Random
0.7131030545246931,1.0,Random
0.7302312303739652,1.0,Random
0.7670568084499001,1.0,Random
0.7850413930916358,1.0,Random
0.8013131601484442,1.0,Random
0.8153011704253497,1.0,Random
0.8331430202683414,1.0,Random
0.8502711961176135,1.0,Random
0.866257493576934,1.0,Random
0.8798172994576078,1.0,Random
0.8929489009420497,1.0,Random
0.9047958892377962,1.0,Random
0.9149300599486154,1.0,Random
0.9274907222380816,1.0,Random
0.9377676277476449,1.0,Random
0.9477590636597203,1.0,Random
0.956751355980588,1.0,Random
0.9636026263202969,1.0,Random
0.9700256922637739,1.0,Random
0.9758778190122752,1.0,Random
0.980730802169569,1.0,Random
0.9840137025406794,1.0,Random
0.9895803596916929,1.0,Random
0.9925777904653155,1.0,Random
0.9951470168427062,1.0,Random
0.9962888952326577,1.0,Random
0.9982871824150727,1.0,Random
0.9990008564087924,1.0,Random
0.9992863260062803,1.0,Random
1.0,1.0,Random
